"","Last Name","First Name","Team","Bye","Name","Pos","PPR POINTS"
"38","Robinson","Bijan","Falcons",12,"Bijan Robinson","RB",336
"39","Taylor","Jonathan","Colts",14,"Jonathan Taylor","RB",303
"40","Barkley","Saquon","Eagles",5,"Saquon Barkley","RB",322
"41","Gibbs","Jahmyr","Lions",5,"Jahmyr Gibbs","RB",338
"42","Williams","Kyren","Rams",6,"Kyren Williams","RB",313
"43","Jacobs","Josh","Packers",10,"Josh Jacobs","RB",274
"44","Pacheco","Isiah","Chiefs",6,"Isiah Pacheco","RB",270
"45","Etienne","Travis","Jaguars",12,"Travis Etienne","RB",264
"46","Walker","Kenneth","Seahawks",10,"Kenneth Walker","RB",234
"47","Mixon","Joe","Texans",14,"Joe Mixon","RB",250
"48","Conner","James","Cardinals",11,"James Conner","RB",227
"49","Achane","De'Von","Dolphins",6,"De'Von Achane","RB",221
"50","Jones","Aaron","Vikings",6,"Aaron Jones","RB",241
"51","White","Rachaad","Buccaneers",11,"Rachaad White","RB",245
"52","Cook","James","Bills",12,"James Cook","RB",242
"53","Henry","Derrick","Ravens",14,"Derrick Henry","RB",194
"54","Harris","Najee","Steelers",9,"Najee Harris","RB",201
"55","Kamara","Alvin","Saints",12,"Alvin Kamara","RB",250
"56","Pollard","Tony","Titans",5,"Tony Pollard","RB",201
"57","Montgomery","David","Lions",5,"David Montgomery","RB",177
"58","Williams","Javonte","Broncos",14,"Javonte Williams","RB",192
"59","Mostert","Raheem","Dolphins",6,"Raheem Mostert","RB",183
"60","Stevenson","Rhamondre","Patriots",0,"Rhamondre Stevenson","RB",205
"61","White","Zamir","Raiders",10,"Zamir White","RB",177
"62","Singletary","Devin","Giants",11,"Devin Singletary","RB",179
"63","Warren","Jaylen","Steelers",9,"Jaylen Warren","RB",204
"64","Hubbard","Chuba","Panthers",11,"Chuba Hubbard","RB",174
"65","Moss","Zack","Bengals",12,"Zack Moss","RB",162
"66","Swift","D'Andre","Bears",7,"D'Andre Swift","RB",174
"67","Robinson","Brian","Redskins",14,"Brian Robinson","RB",160
"68","Ekeler","Austin","Redskins",14,"Austin Ekeler","RB",197
"69","Spears","Tyjae","Titans",5,"Tyjae Spears","RB",203
"70","Ford","Jerome","Browns",10,"Jerome Ford","RB",163
"71","Elliott","Ezekiel","Cowboys",7,"Ezekiel Elliott","RB",170
"72","Brown","Chase","Bengals",12,"Chase Brown","RB",154
"73","Dowdle","Rico","Cowboys",7,"Rico Dowdle","RB",154
"74","Davis","Ray","Bills",12,"Ray Davis","RB",149
"75","Dobbins","JK","Chargers",5,"JK Dobbins","RB",141
"76","Corum","Blake","Rams",6,"Blake Corum","RB",135
"77","Allen","Braelon","Jets",12,"Braelon Allen","RB",151
"78","Benson","Trey","Cardinals",11,"Trey Benson","RB",139
"79","Chubb","Nick","Browns",10,"Nick Chubb","RB",137
"80","Edwards","Gus","Chargers",5,"Gus Edwards","RB",131
"81","Charbonnet","Zach","Seahawks",10,"Zach Charbonnet","RB",160
"82","Wright","Jaylen","Dolphins",6,"Jaylen Wright","RB",133
"83","Brooks","Jonathon","Panthers",11,"Jonathon Brooks","RB",134
"84","Chandler","Ty","Vikings",6,"Ty Chandler","RB",140
"85","McLaughlin","Jaleel","Broncos",14,"Jaleel McLaughlin","RB",125
"86","Allgeier","Tyler","Falcons",12,"Tyler Allgeier","RB",111
"87","Vidal","Kimani","Chargers",5,"Kimani Vidal","RB",113
"88","Mitchell","Elijah","49ers",9,"Elijah Mitchell","RB",105
"89","Mason","Jordan","49ers",9,"Jordan Mason","RB",114
"90","Johnson","Roschon","Bears",7,"Roschon Johnson","RB",119
"91","Shipley","Will","Eagles",5,"Will Shipley","RB",107
"92","Herbert","Khalil","Bears",7,"Khalil Herbert","RB",106
"93","Tracy","Tyrone","Giants",11,"Tyrone Tracy","RB",101
"94","Bigsby","Tank","Jaguars",12,"Tank Bigsby","RB",96
"95","Perine","Samaje","Broncos",14,"Samaje Perine","RB",134
"96","Mitchell","Keaton","Ravens",14,"Keaton Mitchell","RB",92
"97","Irving","Bucky","Buccaneers",11,"Bucky Irving","RB",102
"98","Pierce","Dameon","Texans",14,"Dameon Pierce","RB",85
"99","McKinnon","Jerick","TBA",0,"Jerick McKinnon","RB",106
"100","Gibson","Antonio","Patriots",14,"Antonio Gibson","RB",112
"101","Edwards-Helaire","Clyde","Chiefs",6,"Clyde Edwards-Helaire","RB",83
"102","Mattison","Alexander","Raiders",10,"Alexander Mattison","RB",85
"103","Gray","Eric","Giants",11,"Eric Gray","RB",74
"104","Hill","Justice","Ravens",14,"Justice Hill","RB",75
"105","Sermon","Trey","Colts",14,"Trey Sermon","RB",72
"106","Dillon","A.J.","Packers",10,"A.J. Dillon","RB",63
"107","Miller","Kendre","Saints",12,"Kendre Miller","RB",50
"108","Gainwell","Kenneth","Eagles",5,"Kenneth Gainwell","RB",52
"109","Hill","Tyreek","Dolphins",6,"Tyreek Hill","WR",390
"110","Lamb","CeeDee","Cowboys",7,"CeeDee Lamb","WR",405
"111","Chase","Ja'Marr","Bengals",12,"Ja'Marr Chase","WR",381
"112","Jefferson","Justin","Vikings",6,"Justin Jefferson","WR",376
"113","St. Brown","Amon-Ra","Lions",5,"Amon-Ra St. Brown","WR",389
"114","Brown","A.J.","Eagles",5,"A.J. Brown","WR",345
"115","Wilson","Garrett","Jets",12,"Garrett Wilson","WR",312
"116","Samuel","Deebo","49ers",9,"Deebo Samuel","WR",268
"117","Nacua","Puka","Rams",6,"Puka Nacua","WR",301
"118","Waddle","Jaylen","Dolphins",6,"Jaylen Waddle","WR",264
"119","Evans","Mike","Buccaneers",11,"Mike Evans","WR",248
"120","Adams","Davante","Raiders",10,"Davante Adams","WR",274
"121","Moore","D.J.","Bears",7,"D.J. Moore","WR",259
"122","Harrison Jr.","Marvin","Cardinals",11,"Marvin Harrison Jr.","WR",251
"123","Aiyuk","Brandon","49ers",9,"Brandon Aiyuk","WR",250
"124","Olave","Chris","Saints",12,"Chris Olave","WR",260
"125","Metcalf","D.K.","Seahawks",10,"D.K. Metcalf","WR",245
"126","Cooper","Amari","Browns",10,"Amari Cooper","WR",241
"127","Diggs","Stefon","Texans",14,"Stefon Diggs","WR",261
"128","Pickens","George","Steelers",9,"George Pickens","WR",243
"129","Collins","Nico","Texans",14,"Nico Collins","WR",246
"130","Smith","Devonta","Eagles",5,"Devonta Smith","WR",257
"131","Dell","Tank","Texans",14,"Tank Dell","WR",241
"132","London","Drake","Falcons",12,"Drake London","WR",248
"133","Higgins","Tee","Bengals",12,"Tee Higgins","WR",243
"134","McLaurin","Terry","Redskins",14,"Terry McLaurin","WR",243
"135","Pittman","Michael","Colts",14,"Michael Pittman","WR",260
"136","Kirk","Christian","Jaguars",12,"Christian Kirk","WR",240
"137","Watson","Christian","Packers",10,"Christian Watson","WR",220
"138","Rice","Rashee","Chiefs",6,"Rashee Rice","WR",233
"139","Kupp","Cooper","Rams",6,"Cooper Kupp","WR",240
"140","Allen","Keenan","Bears",7,"Keenan Allen","WR",247
"141","Nabers","Malik","Giants",11,"Malik Nabers","WR",224
"142","Brown","Marquise","Chiefs",6,"Marquise Brown","WR",219
"143","Worthy","Xavier","Chiefs",6,"Xavier Worthy","WR",206
"144","Ridley","Calvin","Titans",5,"Calvin Ridley","WR",211
"145","Reed","Jayden","Packers",10,"Jayden Reed","WR",217
"146","Pearsall","Ricky","49ers",9,"Ricky Pearsall","WR",212
"147","Flowers","Zay","Ravens",14,"Zay Flowers","WR",226
"148","Meyers","Jakobi","Raiders",10,"Jakobi Meyers","WR",219
"149","Thomas","Brian","Jaguars",12,"Brian Thomas","WR",196
"150","McConkey","Ladd","Chargers",5,"Ladd McConkey","WR",208
"151","Johnson","Diontae","Panthers",11,"Diontae Johnson","WR",206
"152","Palmer","Joshua","Chargers",5,"Joshua Palmer","WR",195
"153","Shakir","Khalil","Bills",12,"Khalil Shakir","WR",194
"154","Patrick","Tim","Broncos",14,"Tim Patrick","WR",193
"155","Addison","Jordan","Vikings",6,"Jordan Addison","WR",200
"156","Shaheed","Rashid","Saints",12,"Rashid Shaheed","WR",184
"157","Williams","Mike","Jets",12,"Mike Williams","WR",187
"158","Godwin","Chris","Buccaneers",11,"Chris Godwin","WR",208
"159","Hopkins","DeAndre","Titans",5,"DeAndre Hopkins","WR",188
"160","Smith-Njigba","Jaxon","Seahawks",10,"Jaxon Smith-Njigba","WR",197
"161","Doubs","Romeo","Packers",10,"Romeo Doubs","WR",190
"162","Davis","Gabriel","Jaguars",12,"Gabriel Davis","WR",169
"163","Mitchell","Adonai","Colts",14,"Adonai Mitchell","WR",178
"164","Downs","Josh","Colts",14,"Josh Downs","WR",202
"165","Odunze","Rome","Bears",7,"Rome Odunze","WR",172
"166","Jeudy","Jerry","Browns",10,"Jerry Jeudy","WR",184
"167","Dotson","Jahan","Eagles",5,"Jahan Dotson","WR",170
"168","Sutton","Courtland","Broncos",14,"Courtland Sutton","WR",180
"169","Lockett","Tyler","Seahawks",10,"Tyler Lockett","WR",185
"170","Wicks","Dontayvion","Packers",10,"Dontayvion Wicks","WR",174
"171","Coleman","Keon","Bills",12,"Keon Coleman","WR",173
"172","Williams","Jameson","Lions",5,"Jameson Williams","WR",165
"173","Tucker","Tre","Raiders",10,"Tre Tucker","WR",162
"174","Cooks","Brandin","Cowboys",7,"Brandin Cooks","WR",171
"175","Mooney","Darnell","Falcons",12,"Darnell Mooney","WR",182
"176","Boyd","Tyler","Titans",5,"Tyler Boyd","WR",185
"177","Robinson","Demarcus","Rams",6,"Demarcus Robinson","WR",161
"178","Polk","Ja'Lynn","Patriots",14,"Ja'Lynn Polk","WR",159
"179","Mims","Marvin","Broncos",14,"Marvin Mims","WR",150
"180","Thielen","Adam","Panthers",11,"Adam Thielen","WR",181
"181","Samuel","Curtis","Bills",12,"Curtis Samuel","WR",173
"182","Brown","Dyami","Redskins",14,"Dyami Brown","WR",158
"183","Wilson","Michael","Cardinals",11,"Michael Wilson","WR",159
"184","Corley","Malachi","Jets",12,"Malachi Corley","WR",150
"185","Wilson","Roman","Steelers",9,"Roman Wilson","WR",151
"186","Douglas","Demario","Patriots",14,"Demario Douglas","WR",172
"187","Cowing","Jacob","49ers",9,"Jacob Cowing","WR",140
"188","Legette","Xavier","Panthers",11,"Xavier Legette","WR",146
"189","Dortch","Greg","Cardinals",11,"Greg Dortch","WR",168
"190","Moore","Elijah","Browns",10,"Elijah Moore","WR",159
"191","Lazard","Allen","Jets",12,"Allen Lazard","WR",133
"192","Slayton","Darius","Giants",11,"Darius Slayton","WR",139
"193","Franklin","Troy","Broncos",14,"Troy Franklin","WR",128
"194","Chark","D.J.","Chargers",5,"D.J. Chark","WR",129
"195","Robinson","Wan'Dale","Giants",11,"Wan'Dale Robinson","WR",160
"196","Walker","Devontez","Ravens",14,"Devontez Walker","WR",118
"197","Bourne","Kendrick","Patriots",14,"Kendrick Bourne","WR",130
"198","Osborn","K.J.","Patriots",14,"K.J. Osborn","WR",131
"199","Johnston","Quentin","Chargers",5,"Quentin Johnston","WR",125
"200","Mingo","Jonathan","Panthers",11,"Jonathan Mingo","WR",124
"201","Hyatt","Jalin","Giants",11,"Jalin Hyatt","WR",102
"202","Burks","Treylon","Titans",5,"Treylon Burks","WR",96
"203","Bateman","Rashod","Ravens",14,"Rashod Bateman","WR",103
"204","LaPorta","Sam","Lions",5,"Sam LaPorta","TE",247
"205","Kincaid","Dalton","Bills",12,"Dalton Kincaid","TE",238
"206","Kelce","Travis","Chiefs",6,"Travis Kelce","TE",234
"207","Kittle","George","49ers",9,"George Kittle","TE",212
"208","Andrews","Mark","Ravens",14,"Mark Andrews","TE",204
"209","McBride","Trey","Cardinals",11,"Trey McBride","TE",223
"210","Engram","Evan","Jaguars",12,"Evan Engram","TE",217
"211","Ferguson","Jake","Cowboys",7,"Jake Ferguson","TE",185
"212","Goedert","Dallas","Eagles",5,"Dallas Goedert","TE",183
"213","Bowers","Brock","Raiders",10,"Brock Bowers","TE",183
"214","Pitts","Kyle","Falcons",12,"Kyle Pitts","TE",180
"215","Njoku","David","Browns",10,"David Njoku","TE",179
"216","Kmet","Cole","Bears",7,"Cole Kmet","TE",176
"217","Freiermuth","Pat","Steelers",9,"Pat Freiermuth","TE",169
"218","Johnson","Juwan","Saints",12,"Juwan Johnson","TE",158
"219","Hill","Taysom","Saints",12,"Taysom Hill","TE",77
"220","Schultz","Dalton","Texans",14,"Dalton Schultz","TE",156
"221","Hockenson","T.J.","Vikings",6,"T.J. Hockenson","TE",166
"222","Conklin","Tyler","Jets",12,"Tyler Conklin","TE",162
"223","Okonkwo","Chig","Titans",5,"Chig Okonkwo","TE",152
"224","Otton","Cade","Buccaneers",11,"Cade Otton","TE",143
"225","Likely","Isaiah","Ravens",14,"Isaiah Likely","TE",116
"226","Parham","Donald","Chargers",5,"Donald Parham","TE",123
"227","Henry","Hunter","Patriots",14,"Hunter Henry","TE",123
"228","Musgrave","Luke","Packers",10,"Luke Musgrave","TE",116
"229","Gray","Noah","Chiefs",6,"Noah Gray","TE",108
"230","Waller","Darren","Giants",11,"Darren Waller","TE",124
"231","Smith","Jonnu","Dolphins",6,"Jonnu Smith","TE",113
"232","Kraft","Tucker","Packers",10,"Tucker Kraft","TE",107
"233","Everett","Gerald","Bears",7,"Gerald Everett","TE",113
"234","Higbee","Tyler","Rams",6,"Tyler Higbee","TE",104
"235","Fant","Noah","Seahawks",10,"Noah Fant","TE",100
"236","Granson","Kylen","Colts",14,"Kylen Granson","TE",95
"237","Thomas","Logan","TBA",0,"Logan Thomas","TE",105
"238","Ertz","Zach","Redskins",14,"Zach Ertz","TE",97
"239","Knox","Dawson","Bills",12,"Dawson Knox","TE",84
"240","Hurst","Hayden","Panthers",11,"Hayden Hurst","TE",88
"241","Hudson","Tanner","Bengals",12,"Tanner Hudson","TE",84
"242","Bryant","Harrison","Browns",10,"Harrison Bryant","TE",63
"243","Smythe","Durham","Dolphins",6,"Durham Smythe","TE",73
"244","Mayer","Michael","Raiders",10,"Michael Mayer","TE",62
"245","Washington","Darnell","Steelers",9,"Darnell Washington","TE",52
"246","Gesicki","Mike","Patriots",14,"Mike Gesicki","TE",60
"247","Dulcich","Greg","Broncos",14,"Greg Dulcich","TE",56
