Last Name,First Name,Team,Bye,Name,Pos,PPR POINTS
Waddle,Jaylen,Dolphins,10,Jaylen Waddle,WR,258
Olave,Chris,Saints,11,Chris Olave,WR,258
St. Brown,Amon-Ra,Lions,9,Amon-Ra St. Brown,WR,279
Higgins,Tee,Bengals,7,Tee Higgins,WR,255
Ridley,Calvin,Jaguars,9,Calvin Ridley,WR,256
McLaurin,Terry,Redskins,14,Terry McLaurin,WR,252
Cooper,Amari,Browns,5,Amari Cooper,WR,243
Jeudy,Jerry,Broncos,9,Jerry Jeudy,WR,248
Smith,Devonta,Eagles,10,Devonta Smith,WR,254
Metcalf,D.K.,Seahawks,5,D.K. Metcalf,WR,246
Allen,Keenan,Chargers,5,Keenan Allen,WR,262
London,Drake,Falcons,11,Drake London,WR,253
Hopkins,DeAndre,Titans,7,DeAndre Hopkins,WR,252
Samuel,Deebo,49ers,9,Deebo Samuel,WR,217
Pickens,George,Steelers,6,George Pickens,WR,215
Williams,Mike,Chargers,5,Mike Williams,WR,217
Evans,Mike,Buccaneers,5,Mike Evans,WR,215
Aiyuk,Brandon,49ers,9,Brandon Aiyuk,WR,220
Watson,Christian,Packers,6,Christian Watson,WR,206
Moore,D.J.,Bears,13,D.J. Moore,WR,219
Dotson,Jahan,Redskins,14,Jahan Dotson,WR,212
Lockett,Tyler,Seahawks,5,Tyler Lockett,WR,217
Kirk,Christian,Jaguars,9,Christian Kirk,WR,214
Davis,Gabriel,Bills,13,Gabriel Davis,WR,196
Cooks,Brandin,Cowboys,7,Brandin Cooks,WR,210
Johnson,Diontae,Steelers,6,Diontae Johnson,WR,223
Brown,Marquise,Cardinals,14,Marquise Brown,WR,216
Dell,Tank,Texans,7,Tank Dell,WR,188
Godwin,Chris,Buccaneers,5,Chris Godwin,WR,211
Moore,Elijah,Browns,5,Elijah Moore,WR,191
Sutton,Courtland,Broncos,9,Courtland Sutton,WR,193
Smith-Njigba,Jaxon,Seahawks,5,Jaxon Smith-Njigba,WR,184
Pittman,Michael,Colts,11,Michael Pittman,WR,203
Toney,Kadarius,Chiefs,10,Kadarius Toney,WR,174
Osborn,K.J.,Vikings,13,K.J. Osborn,WR,181
Addison,Jordan,Vikings,13,Jordan Addison,WR,181
Bourne,Kendrick,Patriots,11,Kendrick Bourne,WR,190
Flowers,Zay,Ravens,13,Zay Flowers,WR,182
Lazard,Allen,Jets,7,Allen Lazard,WR,187
Moore,Skyy,Chiefs,10,Skyy Moore,WR,181
Burks,Treylon,Titans,7,Treylon Burks,WR,184
Jefferson,Van,Rams,10,Van Jefferson,WR,171
Beckham,Odell,Ravens,13,Odell Beckham,WR,176
Williams,Jameson,Lions,9,Jameson Williams,WR,163
Bateman,Rashod,Ravens,13,Rashod Bateman,WR,178
Johnston,Quentin,Chargers,5,Quentin Johnston,WR,172
Hyatt,Jalin,Giants,13,Jalin Hyatt,WR,172
Smith-Schuster,JuJu,Patriots,11,JuJu Smith-Schuster,WR,186
Mingo,Jonathan,Panthers,7,Jonathan Mingo,WR,170
Shaheed,Rashid,Saints,11,Rashid Shaheed,WR,159
Meyers,Jakobi,Raiders,13,Jakobi Meyers,WR,186
Metchie,John,Texans,7,John Metchie,WR,159
Mooney,Darnell,Bears,13,Darnell Mooney,WR,179
